"Date","Price","High","Low","Close","Adj.Close","Volume","Price.bracket"
2020-04-01,144.5,144.600006,135.179993,137,137,11453300,"low"
2020-04-02,125.300003,133.488998,114.5,121.93,121.93,27313800,"low"
2020-04-03,124.300003,128.479996,120.110001,128.199997,128.199997,12238100,"low"
2020-04-06,113.629997,125.175003,108.529999,122.940002,122.940002,25378900,"low"
2020-04-07,118.004997,118.440002,109.570999,113.75,113.75,20166200,"low"
2020-04-08,115.019997,125.877998,112.5,117.809998,117.809998,26243300,"low"
2020-04-09,117.800003,125.5,114,124.510002,124.510002,15513000,"low"
2020-04-13,127,136.860001,125.603996,135.919998,135.919998,15411700,"low"
2020-04-14,141.070007,145.199997,139.009995,141.889999,141.889999,11679900,"low"
2020-04-15,141.710007,152.570007,140,151.559998,151.559998,14193300,"low"
2020-04-16,149.919998,154.25,146.800003,150.259995,150.259995,15138200,"low"
2020-04-17,147.910004,153.789001,144.029999,150.059998,150.059998,11328400,"low"
2020-04-20,153.300003,155,148.253998,148.990005,148.990005,11218700,"low"
2020-04-21,151.419998,154.75,138.360001,143.270004,143.270004,9709100,"low"
2020-04-22,147.100006,152.279999,145.100006,150.25,150.25,6520700,"low"
2020-04-23,154.009995,169.75,153.490005,169.089996,169.089996,22159800,"low"
2020-04-24,177.149994,181.5,158.300003,158.800003,158.800003,43814100,"low"
2020-04-27,156.589996,167.850006,155,164.600006,164.600006,19783700,"low"
2020-04-28,165,166,155.25,156.720001,156.720001,13477800,"low"
2020-04-29,147.979996,151,143.380005,146.479996,146.479996,22033300,"low"
2020-04-30,139.990005,143.800003,133.679993,135.169998,135.169998,16682300,"low"
2020-05-01,136,141.630005,132.669998,138.559998,138.559998,13807000,"low"
2020-05-04,140.770004,144.979996,140.449997,143.440002,143.440002,9184700,"low"
2020-05-05,144.429993,148.440002,140.860001,144.820007,144.820007,7376300,"low"
2020-05-06,145.470001,150.740005,144.089996,149.589996,149.589996,6031100,"low"
2020-05-07,154.839996,162,154.039993,157.800003,157.800003,8388900,"low"
2020-05-08,160,161.160004,152.705002,155.399994,155.399994,7071800,"low"
2020-05-11,159.429993,168,158,166.479996,166.479996,10142700,"low"
2020-05-12,168,168.229996,160.050003,161.039993,161.039993,7102600,"low"
2020-05-13,163.610001,171.5,159.169998,167.139999,167.139999,11081300,"low"
2020-05-14,168.259995,170.800003,162.889999,167.910004,167.910004,6730500,"low"
2020-05-15,166.75,175.440002,166.559998,174.830002,174.830002,8540500,"low"
2020-05-18,170.029999,173.440002,162.641998,164.690002,164.690002,9608300,"low"
2020-05-19,167,173.860001,166.210007,173.679993,173.679993,8485500,"low"
2020-05-20,173.529999,175.639999,170.529999,175.479996,175.479996,6910000,"low"
2020-05-21,175.960007,177.800003,168.360001,172.029999,172.029999,5525300,"low"
2020-05-22,171.860001,175.889999,170.199997,171.059998,171.059998,4302200,"low"
2020-05-26,169.100006,169.690002,163.119995,164,164,6689700,"low"
2020-05-27,158.009995,162.220001,149.160004,161.970001,161.970001,10076700,"low"
2020-05-28,159.229996,169.399994,159.199997,163.550003,163.550003,6386800,"low"
2020-05-29,168,179.990005,167.860001,179.479996,179.479996,15219600,"low"
2020-06-01,183.179993,205.869995,183,204.149994,204.149994,24394400,"low"
2020-06-02,210.25,212.690002,197.320007,208.080002,208.080002,36853400,"low"
2020-06-03,211.699997,224.460007,202.320007,223.869995,223.869995,32390100,"low"
2020-06-04,221,223,207.600006,210.350006,210.350006,20212600,"low"
2020-06-05,200.110001,208.940002,196.100006,207.600006,207.600006,16298700,"low"
2020-06-08,204.350006,211.440002,198.660004,209.830002,209.830002,10457500,"low"
2020-06-09,209.830002,210.589996,202.929993,205.429993,205.429993,7521800,"low"
2020-06-10,208.889999,221.529999,208.259995,221.020004,221.020004,12241100,"low"
2020-06-11,219.179993,232,218.5,222.070007,222.070007,17615800,"low"
