"Date","Price","High","Low","Close","Adj.Close","Volume","Price.bracket"
2020-04-01,3,3.04,2.5,2.62,2.62,5898600,"low"
2020-04-02,2.74,2.78,2.18,2.24,2.24,8808100,"low"
2020-04-03,2.32,2.34,2,2.27,2.27,7493400,"low"
2020-04-06,2.5,2.97,2.4,2.88,2.88,6912000,"low"
2020-04-07,3.17,3.73,3.05,3.14,3.14,8977100,"low"
2020-04-08,3.05,3.32,2.8,3.3,3.3,7997600,"low"
2020-04-09,3.3,3.3,2.58,2.6,2.6,13981200,"low"
2020-04-13,2.34,2.36,1.95,2.08,2.08,19784100,"low"
2020-04-14,2.21,2.37,2.14,2.18,2.18,11747900,"low"
2020-04-15,2.15,2.46,2.02,2.41,2.41,11378000,"low"
2020-04-16,2.35,2.49,2.15,2.44,2.44,6290800,"low"
2020-04-17,3.85,3.85,3.05,3.2,3.2,26799900,"low"
2020-04-20,3.22,3.44,3.06,3.18,3.18,10787200,"low"
2020-04-21,3.2,3.38,3.15,3.25,3.25,5788400,"low"
2020-04-22,3.39,3.39,3.16,3.18,3.18,4568600,"low"
2020-04-23,3.2,3.25,3.08,3.11,3.11,4318800,"low"
2020-04-24,3.14,3.2,3.02,3.05,3.05,3623700,"low"
2020-04-27,3.19,3.4,3.06,3.36,3.36,5667200,"low"
2020-04-28,3.82,4.75,3.5,4.14,4.14,21601100,"low"
2020-04-29,4.54,5.53,4.47,5.19,5.19,27162400,"medium"
2020-04-30,5.01,5.09,4.5,4.92,4.92,11235600,"high"
2020-05-01,4.62,4.7,4.3,4.57,4.57,6746800,"medium"
2020-05-04,4.11,4.78,4,4.3,4.3,5601400,"medium"
2020-05-05,4.67,4.69,3.81,3.89,3.89,7504500,"medium"
2020-05-06,4.08,4.1,3.83,3.92,3.92,3105700,"medium"
2020-05-07,4.01,4.18,3.95,3.99,3.99,4105800,"low"
2020-05-08,4.14,4.22,4.04,4.1,4.1,3571200,"medium"
2020-05-11,6.4,6.41,4.89,5.32,5.32,106553300,"high"
2020-05-12,5.77,5.84,4.91,5.12,5.12,19681900,"high"
2020-05-13,5.02,5.03,4.51,4.6,4.6,10433400,"high"
2020-05-14,4.25,4.65,4.08,4.55,4.55,5920500,"medium"
2020-05-15,4.47,4.62,4.44,4.52,4.52,3483200,"medium"
2020-05-18,4.8,4.93,4.63,4.72,4.72,6036900,"high"
2020-05-19,4.82,4.98,4.5,4.56,4.56,4929800,"high"
2020-05-20,4.69,4.75,4.59,4.66,4.66,3489500,"medium"
2020-05-21,4.68,4.79,4.55,4.63,4.63,4555000,"medium"
2020-05-22,4.66,4.68,4.56,4.58,4.58,2408800,"medium"
2020-05-26,4.8,5.14,4.7,5.11,5.11,8864100,"high"
