dailyLevel.bracket,fatalityLevel.bracket,positiveLevel.bracket,recoveryLevel.bracket,AMC.bracket,Grubhub.bracket,LasVegas.bracket,Zoom.bracket
fine,medium,medium,low,5.52,70.870003,51.540001,406.273987
fine,medium,medium,medium,5.67,68.730003,48.84,389
fine,medium,medium,medium,5.71,69.809998,49.07,419.799988
fine,medium,medium,medium,5.42,69.57,46.880001,434
bad,medium,medium,medium,5.22,71.660004,46.509998,477
fine,medium,medium,medium,5.22,72.199997,46.560001,489.48999
fine,medium,medium,medium,4.69,71.580002,44.860001,487.01001
fine,medium,medium,medium,4.64,71.019997,45.740002,474.869995
fine,medium,medium,medium,5.04,72.629997,47.57,502.410004
fine,medium,medium,medium,4.88,72.900002,47.57,488.130005
fine,medium,medium,medium,4.8,72.760002,47.110001,464.209991
fine,medium,medium,medium,4.78,72.459999,46.459999,477
fine,medium,medium,medium,4.48,72.589996,45.189999,485.005005
fine,medium,medium,medium,4.3,73.199997,46.150002,493.970001
fine,medium,medium,medium,4.26,74.419998,46.639999,480.51001
fine,medium,medium,medium,4.08,74.129997,46.959999,482.5
fine,medium,medium,medium,4.13,74.470001,46.400002,484
bad,medium,medium,medium,4.17,74.25,46.18,487.98999
good,medium,medium,medium,4.03,75.269997,45.650002,501.429993
fine,medium,medium,medium,3.9,76.139999,45.52,494
fine,medium,medium,medium,3.09,79.379997,44.919998,518.780029
good,medium,medium,medium,2.84,80.650002,44.5,509.079987
good,medium,medium,medium,2.87,84.82,45.810001,544
fine,medium,medium,medium,3.31,84.82,45.25,572.5
fine,medium,medium,medium,3.3,83.089996,45.029999,572.330017
fine,medium,medium,medium,3.1,82.889999,45.880001,535.880005
fine,medium,medium,medium,2.96,80.730003,49.189999,521.780029
good,medium,medium,medium,3.13,79.580002,49.799999,522.330017
fine,medium,medium,medium,2.92,78.089996,49.950001,520.489014
good,medium,medium,medium,2.88,77.709999,49.810001,525.219971
good,medium,medium,medium,2.69,75.839996,46.98,549.5
fine,medium,medium,medium,2.65,75.599998,46.75,521.190002
good,medium,medium,medium,2.48,74.5,47.189999,481.5
good,medium,medium,medium,2.3,74.370003,48.709999,462.290009
good,medium,medium,medium,2.34,74.080002,49.639999,456.328003
good,medium,medium,medium,2.4,76.300003,48.900002,471.920013
good,medium,medium,medium,2.35,80.25,50.02,497.98999
good,medium,medium,medium,2.43,79.57,52.240002,494.660004
good,medium,medium,medium,4.27,73.129997,59.970001,433
good,medium,medium,medium,3.99,72.639999,58.349998,412.503998
good,medium,medium,medium,3.23,72.209999,58.91,391.649994
good,medium,medium,medium,3.07,73.68,55.639999,427.850006
good,medium,medium,medium,2.98,73.93,55.77,425.98999
good,medium,medium,medium,3.39,71.150002,59.98,382.600006
good,medium,medium,medium,3.01,71.839996,57.630001,406.290009
good,medium,low,medium,3.08,71.699997,57.369999,399
good,medium,low,medium,3.16,70.510002,57.349998,408.98999
good,medium,low,medium,3.25,71.370003,58.029999,418.549988
good,medium,low,high,3.51,70.510002,56.07,432.01001
good,medium,low,high,4.16,68.220001,57.919998,421.505005
fine,low,low,high,4.57,69.169998,57.900002,435.850006
good,medium,low,high,4.54,69.699997,56.59,453.98999
good,medium,low,high,4.41,70.610001,56.25,485.700012
good,low,low,high,4.43,71.410004,56.59,434.720001
good,low,low,high,4.08,71.580002,56.470001,399
good,low,low,high,4.01,69.800003,58.580002,413
good,low,low,high,3.75,69.690002,59.16,409.26001
good,low,low,high,,,,
fine,low,low,high,,,,
good,low,low,high,,,,
good,low,low,high,,,,
good,low,low,high,,,,
good,low,low,high,,,,
good,low,low,high,,,,
good,low,low,high,,,,
good,low,low,high,,,,
good,low,low,high,,,,
good,low,low,high,,,,
good,low,low,high,,,,
good,low,low,high,,,,
good,low,low,high,,,,
good,low,low,high,,,,
good,low,low,high,,,,
good,low,low,high,,,,
good,low,low,high,,,,
good,low,low,high,,,,
good,low,low,high,,,,
good,low,low,high,,,,
good,low,low,high,,,,
good,low,low,high,,,,
fine,low,low,high,,,,
fine,low,low,high,,,,
fine,low,low,high,,,,
good,low,low,high,,,,
good,low,low,high,,,,
good,low,low,high,,,,
fine,low,low,high,,,,
fine,low,low,high,,,,
fine,low,low,high,,,,
fine,low,low,high,,,,
fine,low,low,high,,,,
fine,low,low,high,,,,
good,low,low,high,,,,
fine,low,low,high,,,,
fine,low,low,high,,,,
fine,low,low,high,,,,
fine,low,low,high,,,,
fine,low,low,high,,,,
fine,low,low,high,,,,
fine,low,low,high,,,,
bad,low,low,high,,,,
bad,low,low,high,,,,
fine,low,low,high,,,,
bad,low,low,high,,,,
bad,low,low,high,,,,
bad,low,low,high,,,,
bad,low,low,high,,,,
bad,low,low,high,,,,
bad,low,low,high,,,,
bad,low,low,high,,,,
bad,low,low,high,,,,
bad,low,low,high,,,,
bad,low,low,high,,,,
bad,low,low,high,,,,
bad,low,low,high,,,,
bad,low,low,high,,,,
bad,low,low,high,,,,
bad,low,low,high,,,,
bad,low,low,high,,,,
bad,low,low,medium,,,,
bad,low,low,high,,,,
bad,low,low,high,,,,
bad,low,low,high,,,,
bad,low,low,high,,,,
bad,low,low,high,,,,
bad,low,low,high,,,,
bad,low,low,high,,,,
bad,low,low,high,,,,
fine,low,medium,high,,,,
bad,low,medium,high,,,,
bad,low,medium,high,,,,
bad,low,medium,high,,,,
